P1,P2,P3,P4,Y1,Y2,Y3,Y4,M1,M2,M3,M4,M5 ,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26
0.319664178,0.316335622,-0.616656904,0.115774178,0.729974216,-0.68804578,0.584701282,-1.295771393,1.372347161,2.085572148,-0.816693129,-0.162495902,-0.364870332,-0.480095579,-0.425589598,3.211516052,-0.605320874,-0.179228234,-0.204896386,-0.668829501,-0.711662846,-0.19765661,-0.23511864,-0.454496869,-0.272284672,-0.44122343,0,-0.303318335,-0.350708893,-0.349833952,-0.150184942,-0.15828302,3.083707479,-0.565169285
0.77573537,-0.180548248,-0.566393672,-0.075938418,0.729974216,-0.68804578,0.584701282,-1.295771393,1.114188943,-0.231991455,-0.010728894,0.434945378,-0.229498638,-0.480095579,-0.425589598,-0.075693213,-0.144684532,-0.230398361,-0.204896386,-0.695704934,-0.69747849,-0.19765661,-0.23511864,-0.463878815,-0.300476197,-0.212966285,0,-0.32098555,-0.281810018,-0.218663339,0.239350289,0.237335177,-0.090032525,-0.369477225
1.022065347,-0.085903701,-0.894583014,0.159487147,0.42467797,-0.048720621,-0.614402933,-0.679899741,2.39091701,-0.117882563,0.263373973,-0.035446159,-0.381626799,-0.480095579,-0.425589598,-0.216587604,0.041254116,-0.230398361,-0.204896386,-0.455491106,-0.458949102,-0.19765661,-0.23511864,-0.470088307,-0.21107567,-0.008346858,0,-0.32098555,-0.526608589,-0.523983068,-0.353346046,-0.360449246,-0.459556272,-0.193886337
-0.630097636,0.811709206,-0.193854418,1.00189852,0.313737691,0.321109009,-0.646324606,-1.224208289,1.594323142,-0.434258286,0.075580898,-0.502644875,-0.385079777,-0.480095579,-0.425589598,-0.687595655,0.012734292,-0.230398361,-0.204896386,-0.566726641,-0.580634689,-0.19765661,-0.23511864,-0.469155996,-0.166875528,-0.459662044,0,-0.320710932,-0.205271034,-0.177688951,-0.163360634,-0.175095955,-0.686738604,-0.206597684
-1.121726921,-0.597890424,1.656522429,1.252311389,-1.77805475,-0.710424745,-0.150978232,0.745942248,0.759676463,-0.526911907,0.130052264,-0.595983081,-0.363111734,-0.463229812,-0.411189036,-0.979191905,-0.05338111,-0.029142135,0.002671693,-0.82771777,-0.822181396,-0.19765661,-0.23511864,-0.470088307,-0.301079295,-0.459662044,0,2.737175333,-0.564730232,-0.531171232,-0.58861897,-0.598031261,-0.898703277,-0.275316195
0.601036913,-1.273491389,0.670476072,1.455888933,-0.02982348,-0.278977889,-0.284679179,0.106934766,-0.351022457,-0.778200517,-0.21280453,-0.557137599,-0.278427126,-0.038175961,-0.425589598,-0.817504779,0.281524945,2.21030625,2.63282122,-0.82771777,-0.822181396,-0.19765661,-0.23511864,-0.470088307,-0.301079295,-0.459662044,0,-0.014323605,-1.64971813,-1.359794692,-0.411670665,-0.39035056,-0.752703108,0.117699172
-0.396135692,-1.019763455,1.375639659,1.252311389,-0.919439233,-1.410830237,-0.606617793,0.461093958,0.175247679,-0.557897551,1.865086639,-0.510189409,0.049303206,-0.234694523,-0.071649676,-1.058206333,1.15965292,-0.230398361,-0.204896386,-0.82771777,-0.822181396,-0.19765661,-0.23511864,-0.470088307,-0.301079295,-0.459662044,0,9.87440304,0.084028986,0.106029272,-0.276845587,-0.290435195,-1.049810191,0.937308423
-0.897041,-0.892899489,1.730438947,1.327247908,-0.183433009,-0.333207054,-0.409044318,1.195068275,0.433380013,-0.861221842,1.302223613,-0.602525378,-0.385657477,-0.480095579,-0.390885822,-0.703887206,1.101175198,-0.201369108,-0.18978522,-0.82771777,-0.822181396,-0.19765661,-0.23511864,-0.470088307,-0.301079295,-0.459662044,0,-0.039093073,-0.47074739,-0.449971045,-0.406947575,-0.408100619,-0.767196798,0.968659143
0.493331965,-1.42149935,0.918342797,1.19048876,-0.480950475,-0.428562141,-0.35609865,1.529766958,-0.907319017,2.006927268,-1.063801921,-0.602525378,-0.385657477,-0.474190345,-0.396665833,-0.181376281,-0.988160257,6.850418457,8.126398126,-0.82771777,-0.822181396,-0.19765661,-0.23511864,-0.470088307,-0.301079295,-0.459662044,0,-0.32098555,-3.744035669,-3.454819349,-2.648554688,-2.649339347,-0.536773047,-0.93524083
-1.173260389,-0.856652641,1.958594601,1.19048876,-0.250583897,-0.58889228,-0.169862471,1.970161253,-0.686573951,-0.747206783,-0.08368305,-0.602525378,-0.385657477,-0.480095579,-0.394125635,-0.26594934,-0.542318894,0.706464811,1.072562178,-0.82771777,-0.822181396,-0.19765661,-0.23511864,-0.470088307,-0.301079295,-0.459662044,0,0.064255294,-0.807215921,-0.762270878,-0.404347885,-0.397938729,-0.09824282,-0.591658206
