P1,P2,P3,P4,Y1,Y2,Y3,Y4,M1,M2,M3,M4,M5 ,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,spontaneity
0.932912447,0.168327661,-1.058184908,-1.680828875,0.728807963,-0.942385401,-0.460469792,-0.611772744,0.269044941,-0.231306396,-0.954522956,-0.602525378,0.959042544,-0.460378661,-0.425589598,-0.865811891,-0.531551941,-0.230398361,-0.204896386,0.076769164,0.287015531,-0.19765661,-0.23511864,-0.465674026,-0.301079295,2.3973564,0,-0.32098555,-0.278051863,-0.316743674,-0.534682626,-0.537484328,-0.940393265,-0.021559772,0.2
-0.769238,1.813531799,-1.04093772,-1.466010853,0.720936543,-0.560218518,-0.986983423,-1.396515454,1.17630268,-0.886596121,-0.01772993,-0.602525378,0.183373404,-0.211062095,-0.425589598,-0.105881749,-1.027366364,-0.230398361,-0.204896386,0.361925439,0.445767719,-0.197035983,3.970725569,-0.470088307,-0.301079295,1.249379204,0,-0.32098555,-0.071170426,-0.136319856,-0.634938012,-0.641889341,0.0785265,-1.056647603,0.1
1.545645381,-0.701093254,-0.781737129,-1.688946998,0.7143889,-1.166148755,-0.694225429,-0.473374003,0.888302098,-0.951982882,-0.312597958,-0.602525378,1.400415853,-0.452537877,-0.420467695,-0.884113705,-0.778018965,-0.230398361,-0.204896386,1.488501504,1.55729785,-0.19765661,-0.23511864,-0.470088307,-0.30079337,0.743798883,0,-0.32098555,-0.23233081,-0.255619476,-0.639474577,-0.647903106,-0.727356616,-0.786577404,0.1
0.119714323,0.705989233,-0.806868745,-1.810718842,0.725687068,-0.407809665,-1.166013882,0.261408106,0.47984638,-0.487519836,-0.881838767,-0.602525378,6.876656235,-0.480095579,-0.425589598,-1.082056665,1.536964507,-0.230398361,-0.204896386,0.640508469,1.224539383,-0.19765661,-0.23511864,1.865463338,-0.301079295,-0.077236472,0,-0.32098555,-0.424832076,-0.424561103,-0.621874045,-0.628947567,-1.088281728,1.844138852,0
-1.146462985,1.868908928,-0.734430557,-1.605892356,0.711052317,-0.426425902,-1.486035335,0.474225384,0.467243363,-0.974338385,0.814345909,-0.602525378,5.555678383,-0.474511882,-0.425589598,-1.067320672,-0.237055142,-0.230398361,-0.204896386,1.089477525,1.090429955,-0.19765661,-0.23511864,-0.354426698,-0.301079295,0.013748576,0,-0.32098555,-0.314961952,-0.303173243,-0.640958934,-0.646571499,-0.868873888,-0.768506004,0.1
1.610062216,-0.670384119,-0.884234701,-1.597774233,0.642403134,-0.600894455,-0.917708663,0.31707788,1.319013678,-0.70249193,0.547604243,-0.602525378,3.110294926,-0.477980477,-0.425589598,-0.785820573,-0.484332454,-0.230398361,-0.204896386,1.903000171,1.77248645,-0.19765661,-0.23511864,0.55378751,-0.284855044,1.245207668,0,-0.32098555,-0.28256027,-0.253313372,-0.571419735,-0.575202703,-0.645874275,-0.4461219,0.1
2.356782167,-1.295138812,-0.98722505,-1.584660342,0.724077337,-0.405044186,-1.338096305,0.633230885,0.862259423,-0.798327547,-0.527706,-0.602525378,3.743266344,-0.395863529,-0.425589598,-0.157328334,-0.702258194,-0.230398361,-0.204896386,1.625870537,1.334830265,-0.19765661,-0.23511864,0.697837038,-0.1349814,0.097528341,0,-0.32098555,-0.281305568,-0.311007828,-0.592401856,-0.593065268,0.792290938,-0.617390988,0.3
1.132346968,-0.220822523,-0.86748029,-1.75264304,0.727939968,-0.753434905,-0.472770201,-1.066226613,1.536521221,2.052180616,-1.09663599,-0.60066836,1.172425696,-0.123824954,-0.425589598,-0.749719642,-0.856799862,-0.230398361,-0.204896386,0.69775108,0.262790572,-0.19765661,-0.23511864,2.663656227,-0.010309146,0.941650423,0,-0.32098555,0.521634688,0.191552181,-0.425750955,-0.419989228,-1.028320843,-0.00811214,0.3
0.18000848,0.870610333,-1.02566164,-1.47038215,0.729974216,-0.773102552,-0.394220899,-1.147188702,1.808871214,1.307996971,-1.052828572,-0.592351099,2.233542329,1.302294628,-0.425589598,-0.556555775,-0.758195271,-0.230398361,-0.204896386,0.600707876,0.654526362,-0.19765661,-0.23511864,-0.470052292,-0.301079295,1.35941398,0,-0.32098555,1.0502121,0.689420224,0.148633555,0.286555366,-1.042352694,-0.265891696,0.7
-0.900648343,1.448546181,-0.558016466,-1.532829249,0.536345921,-0.882794522,-0.778463448,-0.645582514,1.481821551,0.896155511,-1.09663599,-0.602525378,1.139991494,-0.094282039,-0.425589598,0.519902306,-1.136197451,-0.230398361,-0.204896386,0.242551348,0.11693743,-0.19765661,-0.23511864,1.33588053,-0.294736448,1.739374303,0,-0.32098555,-0.158656484,-0.283656317,-0.541600979,-0.527676785,0.116009304,-1.106941971,0.8
